442565, x
110159, z
238165, x
375694, x
395394, x
321273, z
269728, x
57943, z
397934, x
238840, x
135201, z
362661, z
430494, x
181980, x
459794, x
247648, x
333427, z
88640, x
30072, x
190650, x
8001, z
395238, x
351508, x
406511, x
378347, x
398529, x
83790, z
344864, x
113811, x
173739, x
106950, x
80170, x
383232, x
397744, z
82333, x
432382, x
23129, x
213767, x
245086, x
468756, x
348610, x
385221, x
333109, z
262777, x
302355, x
238827, x
251861, x
3936, x
237376, x
123077, z
64719, z
322479, x
397204, x
390819, x
302174, x
385799, x
420729, x
46341, x
452690, x
174996, z
267185, z
300152, x
460048, x
137410, x
190940, x
216404, x
251333, x
58800, x
415306, x
6918, x
144171, x
121186, x
82971, x
201865, z
1461, z
224304, x
166112, x
202400, x
216590, x
367891, x
233619, x
126134, x
18107, x
421716, x
224599, x
281861, x
44121, x
392094, x
327178, x
225141, x
252215, x
434876, x
323523, x
208998, x
274323, x
167805, x
456827, x
318413, x
61388, z
427214, x
311300, z
244239, z
399865, x
261010, z
373108, x
150811, x
399884, z
161427, x
352873, x
274884, z
149966, x
68095, x
102463, x
281959, x
428352, x
437634, x
419118, x
135514, x
470785, x
173795, x
98109, x
462763, x
426940, x
284149, x
204700, x
249044, x
257378, x
134707, z
349019, x
269784, x
343804, x
412642, x
64055, z
128667, x
11179, x
312863, x
152204, x
455555, z
319037, x
315466, x
85112, z
12925, x
383989, x
311930, x
475395, z
111717, x
170216, x
213693, x
302041, z
415945, x
244604, x
111531, x
183530, x
424963, x
328665, x
419758, x
209060, x
293979, x
311920, x
32337, x
307946, x
260702, x
262099, x
379762, x
273539, x
309998, x
111107, x
243510, x
332173, x
57909, x
183155, z
13840, z
50739, z
22327, x
430114, z
267221, x
451365, x
476582, z
314947, x
396977, x
265314, x
159857, z
9828, x
78120, x
211006, z
444246, z
171505, x
340284, z
60061, x
464321, x
13913, z
336645, x
195922, z
454501, x
192122, x
235962, x
278920, x
432755, x
312964, x
442335, x
329886, x
17344, x
321529, x
129840, x
399322, z
467216, x
305014, z
159097, x
112209, x
463578, x
8997, x
332885, x
449243, x
282947, x
328677, x
283987, x
323898, x
7376, x
376974, x
141562, z
42156, x
350688, x
471466, x
325905, x
390343, x
70639, x
449661, x
277244, x
410580, x
203155, x
186224, x
33831, x
448791, x
95497, z
160209, x
417267, x
433178, x
314085, x
83372, x
126137, x
86745, x
359721, x
42377, z
135608, x
411681, x
244212, x
313226, z
267936, x
383208, x
192902, z
394321, z
468298, x
198262, x
26905, x
350196, x
157903, z
97983, x
135887, z
399530, x
177379, x
139859, x
290419, x
181041, z
152137, z
62866, x
284573, x
49346, x
398888, x
185440, x
327320, x
228796, x
114653, z
123125, z
282338, x
150604, x
232175, x
192644, z
140282, x
177376, x
25335, z
127272, x
384105, x
288709, x
19693, z
149437, x
286937, z
427459, x
225883, x
234563, x
62928, x
213021, x
346081, x
15384, x
334082, x
52233, x
372447, x
400592, x
269022, x
269222, x
274255, x
131058, z
283024, x
337725, x
24698, z
106351, x
464575, z
236038, x
240158, x
194670, x
64973, x
40759, z
409027, x
196385, z
156362, x
155663, x
390036, x
89976, z
94614, z
346788, x
234390, x
55303, z
139766, x
212938, x
35780, z
164172, x
115561, x
350067, x
63847, x
307690, x
342781, z
368887, x
243168, x
404742, z
171833, x
216765, x
346309, x
345347, x
207670, z
386942, x
197418, x
356588, x
147466, x
89142, x
235455, x
314599, x
470835, x
368897, x
285188, x
450907, x
2506, x
59041, x
377371, z
144773, x
161295, x
439754, x
230646, x
221590, x
280709, z
118995, x
69322, x
152376, x
173704, x
50358, x
78459, x
30195, z
346244, x
56554, x
92331, x
274677, x
198878, z
90654, x
119843, x
93956, z
189, x
452684, x
147301, x
204512, x
232500, x
356867, x
155478, x
429543, x
263739, x
467563, x
284932, z
270993, x
88864, x
45494, z
30153, x
219569, x
18017, x
222988, x
201014, x
338664, x
314195, x
271574, x
12007, x
66951, x
160944, x
365969, x
343690, x
186880, z
97755, x
42390, z
179798, x
414224, x
313579, z
473711, x
297492, x
228602, x
197903, z
60948, x
336538, x
354658, x
265750, x
233445, z
45858, x
377734, x
302132, z
9782, x
136488, x
233448, z
120605, x
33684, x
352902, x
448534, x
146879, z
300754, x
407210, x
382811, z
191072, x
181494, x
125050, z
45088, x
457944, x
26767, x
327394, x
265246, x
301779, x
44120, x
97896, x
357277, x
394785, x
405861, x
274656, x
374740, x
263601, z
58092, x
452318, x
138266, x
140501, x
225545, x
294540, x
319262, x
359203, z
466257, x
296305, x
84866, x
337043, x
115126, x
389495, x
